athlete_name,points_earned_2022,country,profile_url,Stance,Age,Height,Weight
Filipe Toledo,58010,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,28,175 cm,70 kg
Jack Robinson,52675,Australia,https://www.worldsurfleague.com/athletes/3442/jack-robinson,Regular,25,180 cm,81 kg
Ethan Ewing,45620,Australia,https://www.worldsurfleague.com/athletes/4133/ethan-ewing,Regular,24,178 cm,77 kg
Italo Ferreira,41790,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,29,168 cm,68 kg
Kanoa Igarashi,41600,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,25,180 cm,78 kg
Griffin Colapinto,41450,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,24,178 cm,78 kg
Caio Ibelli,35525,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,29,167 cm,72 kg
Callum Robson,34560,Australia,https://www.worldsurfleague.com/athletes/9654/callum-robson,Regular,22,178 cm,79 kg
Jordy Smith,31505,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,35,190 cm,88 kg
Kelly Slater,30705,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,51,175 cm,73 kg
